Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating
16,1,290,Emmy-Winning Episode,"James Purdum, Dominic Bianchi & Peter Shin",None,Aaron Lee,"Francis Dinglasan, Orlando Gumatay, Dante Leandado, Michael Rundle","Louis C.K., Ty Burrell, Julie Bowen, Sofia Vergara, Bill Maher, Christina Pickles",Peter Griffin,"Lois, Meg, Chris, Stewie, Brian, Quagmire, Joe, Bonnie, Cleveland, Donna, Rupert, Mayor Adam West, Jerome, Tricia Takanawa, Elmer Hartman, Consuela, Eddie the Live Studio Ostrich, Sofia Vergara, Ty Burrell, Louis C.K., Ryan O'Neil, Alec Baldwin, Julie Bowen, Aaron Sorkin, Shonda Rhimes, Eddie Vedder, Tracy Morgan, Tina Fey, Kelsey Grammer, Julia Louis-Dreyfus, Bill Maher, Maggie Smith, Heidi Klum, Michael Kors, Nina García, Asa Akira",Vedder Call Saul,1-Oct-17,FACX06,2.8,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",8.2
16,2,291,Foxx in the Men House,Brian Iles,Ivaylo Angelov,Andrew Goldberg,"Rob Bou-Saab, Bao Nguyen, Eric Sanford",Kathleen Turner,"Peter Griffin, Stryker Foxx","Lois, Meg, Chris, Brian, Stewie, Quagmire, Joe, Cleveland, Kristen Medley, Ashley Caldwell, Kathleen Turner, Meryl Streep, George Clooney, Jerry Seinfeld",None,8-Oct-17,EACX20,3.05,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.3
16,3,292,Nanny Goats,Steve Robertson,Pablo Solis,Tom Devanney,"Michael Narren, Eric Sanford, Dave Sherburne",None,"Peter Griffin, Lois Griffin","Stewie, Meg, Chris, Brian, Cleveland, Donna, Cleveland Brown, Jr., Joe, Bonnie, Carter, Babs, Goose, Maverick, Craig, Steve, Ronald, Natalia, Frank Maxwell, Fievel Mousekewitz, Mickey Mouse",None,15-Oct-17,FACX02,2.54,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.2
16,4,293,Follow the Money,Mike Kim,Max Martinez,Kevin Biggins,"Michael Rundle, Eric Sanford, Brinson Thieme, Stephen Wong",None,"Chris Griffin, Carter Pewterschmidt","Peter, Lois, Meg, Stewie, Brian, Quagmire, Joe, Bonnie, Cleveland, Cleveland Brown, Jr., Donna, Elmer Hartman, Patty, Esther, Ruth, Tom Tucker, Tricia Takanawa, Joyce Kinney, Ollie Williams, RJ, Mort, Neil Goldman, Ida Davis, Seamus, Carl, Fouad, Mayor Adam West, Tomik and Bellgarde, Jerome, Jillian Russell-Wilcox, Mr. Washee Washee, Connie D'Amico, DJ Butcher, Tracy Flannigan, Johnny Wind Chimes, Ernie the Giant Chicken, Nicole, Eddie the Live Studio Ostrich, The Screaming Black Dolphins, Wacky Waving Inflatable Arm-Flailing Tubeman, Janine, Todd, Jesus, Whammy, Ryan Reynolds, Ellen DeGeneres, George Washington, Benjamin Franklin",None,22-Oct-17,EACX15,2.69,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.1
16,5,294,Three Directors,Joe Vaux,Mark Covell,Travis Bowe,"Francis Dinglasan, Jonathan Gebhart, Helen Kim, Michael Rundle","Carrie Fisher, Adam West",Peter Griffin,"Lois, Stewie, Chris, Meg, Brian, Cleveland, Joe, Quagmire, Angela, Carter, Mayor Adam West, Consuela, Tricia Takanawa, Dr. Hartman, Phineas & Barnaby, John Herbert, Bruce, Mort, Seamus, Principal Shepherd, Opie, Tom Tucker, Gene Porterfield, Christoph Waltz Uncut version - Stella",Peter's Country Needs Him,5-Nov-17,EACX18,2.31,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.8
16,6,295,The D in Apartment 23,Julius Wu,John Banh,Artie Johann,"Rob Bou-Saab, Jonathan Gebhart, Brinson Thieme",None,Brian,"Peter, Lois, Meg, Chris, Stewie, Joe, Cleveland, Quagmire, Jerome, Seamus, Sid, Kurt, Gill, Chip, Karen, JJ, Angela, Tito, Larry, Lou Spinazola, Oscar the Grouch, Kevin Hart, Ice Cube",I Love Trash,12-Nov-17,FACX03,3.11,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",8.1
16,7,296,Petey IV,Mike Kim,Max Martinez,Anthony Blasucci,"Mark Covell, Bao Nguyen, Michael Rundle","Kristen Bell, Iwan Rheon, Jeff Probst","Peter Griffin, Brian","Lois, Meg, Chris, Stewie, Quagmire, Joe, Cleveland, Carter, Babs, Carl, Lou Spinazola, Martha, Randy, Jeff, Rocky, Ivan Drago, The Avengers, Roger Goodell, The Beatles, Lionel Richie, Ronan Farrow, Woody Allen, Soon-Yi Previn, Brigitte Nielsen, Scottie Pippen, Kevin Hart, Ice Cube, Donald Trump, Hillary Clinton, Vladimir Putin, Jeff Probst",Martha,19-Nov-17,FACX04,2.08,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
16,8,297,Crimes and Meg's Demeanor,Greg Colton,Young Baek,Mike Desilets,"Francis Dinglasan, Dante Leandado, Ron Smith",None,"Meg Griffin, Peter Griffin","Lois, Chris, Brian, Stewie, Quagmire, Joe, Rupert, Ruth, Patty, Esther, Jerome, John Shepherd & Fiona Shepherd, Tom Tucker, Lou Spinazola, Wacky Waving Inflatable Arm-Flailing Tubeman, Annie, Adrian Balboa, Chris O'Donnell, Chris Christie",None,3-Dec-17,FACX05,2.59,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.4
16,9,298,Don't Be a Dickens at Christmas,Jerry Langford,Orlando Gumatay,Danny Smith,"Won Ki Cho, Helen Kim, Michael Narren","Norm MacDonald, Jay Pharoah, Don Swayze",Peter,"Lois, Meg, Chris, Stewie, Brian, Joe, Quagmire, Cleveland, Donna, Cleveland Brown, Jr., Roberta Tubbs, Rallo Tubbs, Carter, Babs, Thelma Griffin, Ollie Williams, Opie, Angela, Stella, Fouad, Kanye Canes, David Wooderson, Frank, Holden, Lance, Karen, Norm MacDonald, Marley, Peabo Bryson, Robin Williams, Patrick Swayze",Jesus Child,10-Dec-17,FACX07,2.98,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7
16,10,299,Boy (Dog) Meets Girl (Dog),Brian Iles,Ivaylo Angelov,Steve Callaghan,"Jonathan Gebhart, Dave Sherburne, Brinson Thieme",Amanda Seyfried,"Brian, Ellie","Stewie, Lois, Peter, Chris, Meg, Cleveland, Donna, Quagmire, Joe, Rupert, Tom Tucker, Max, Scott, Billy Joel, Nancy Reagan, Ronald Reagan","Billy Joel One Tune Medley, Things She Did",7-Jan-18,FACX09,3.4,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.1
16,11,300,Dog Bites Bear,John Holmquist,Rick Del Carmen,Cherry Chevapravatdumrong,"Won Ki Cho, Helen Kim, Ron Smith","Danny Trejo, Dikembe Mutombo","Brian, Stewie, Rupert","Lois, Peter, Meg, Chris, Joe, Quagmire, Cleveland, Boo Berry, Danny Trejo, Dikembe Mutombo, Paul Walker","Anus of the Morning, It's So Hard to Say Goodbye to Yesterday",14-Jan-18,FACX01,4.1,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.5
16,12,301,"Send in Stewie, Please",Joe Vaux,Mark Covell,Gary Janetti,"Francis Dinglasan, Steven K.L. Olson, Michael Rundle",Ian McKellen,"Stewie Griffin, Dr. Cecil Pritchfield","Brian, Rupert, Barbara, Michael, Sebastian, Declan, Flibbit, Pipadoodle, Scudger, Nonsenseword",Alexander Hamilton,18-Mar-18,FACX10,2.24,TV-14,26,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.2
16,13,302,V Is for Mystery,Joseph Lee,Wincat Alcala,David A. Goodman,"Rob Bou-Saab, Annemarie Brown, Eric Sanford",Tom Ellis,"Stewie as Sherlock Holmes, Brian as Dr. Watson, Lois as Constance, Peter as himself and Professor Moriarty and the Brute, Carter as Professor Moriarty's Henchman, Chris as Queen Victoria, Meg as Veronica, Bruce as chimney sweep, Quagmire as prisoner, Cleveland as John, Tom Tucker as news boy, Opie as train passenger","Rupert, Valerie, Kenny McCormick, Benny Hill, Neil Diamond, George Zimmer, Elaine Joyce, Ron Palillo, Bill Cosby, Oscar Wilde, Georges Seurat, Liam & Noel Gallagher Uncensored version: Herbert","September Morn, Love for Sale, The Tale of Constance",25-Mar-18,FACX08,1.91,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.8
16,14,303,Veteran Guy,John Holmquist,Rick Del Carmen,Patrick Meighan,"Dante Leandado, Bao Nguyen, Ron Smith","Eric Dane, Kenny Loggins","Peter, Joe, Cleveland, Quagmire","Lois, Chris, Meg, Stewie, Brian, Donna, Rallo, Cleveland Brown, Jr., Roberta, Bonnie, Ida, Judge Dignified Q. Blackman, Jesus Christ, Marcus, Anthony ""Ace"" Bourke, Christian the lion, Aquaman, Sub-Mariner, Eric Dane, Kenny Loggins",None,1-Apr-18,FACX11,2.05,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
16,15,304,The Woof of Wall Street,Steve Robertson,Pablo Solis,Alex Carter,"Won Ki Cho, Helen Kim, Michael Narren",Tom Cochrane (uncredited archive footage),"Brian, Stewie","Meg, Peter, Lois, Joe, Quagmire, Cleveland, Jerome, Jerome's mother, Rupert, Tom Tucker, Consuela, Dr. Hartman, Carter Pewterschmidt, Barbara Pewterschmidt, Billy, Edgar, Rover Dangerfield, Cookie Monster, Elmo, Herry Monster, The Flash, Ricki, Stephen Baldwin, James Cameron, Tom Cochrane, Michael Vick, Eli Manning",None,8-Apr-18,FACX12,1.93,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.2
16,16,305,Family Guy Through the Years,Julius Wu,John Banh,Chris Sheridan,"Rob Bou-Saab, Jonathan Gebhart, Michael Rundle, Eric Sanford",None,Peter,"Lois, Meg, Chris, Stewie, Brian, Quagmire, Joe, Cleveland, Donna, Seamus Levine, Tom Tucker, John Herbert, Professor Knockers, Ernie the Giant Chicken, Mike Brady, Elvis Presley, Bruce Jenner, Don Knotts","Post Raisin Bran Jingle, 1969 Theme From ""Family Guy"", Let His Son Die",22-Apr-18,FACX13,2,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.8
16,17,306,Switch the Flip,Mike Kim,Max Martinez,Kevin Biggins,"Francis Dinglasan, Steven K.L. Olson, Dave Sherburne",None,"Brian, Stewie","Peter, Lois, Meg, Chris, Cleveland, Joe, Quagmire, Ida, Jerome, Tricia Takanawa, Tom Tucker, Ollie Williams, Fouad, Mayor Adam West, Kool-Aid Man, Eddie the Live Studio Ostrich, Indra, God, Diane Simmons, Muriel Goldman, Brandee, Anton, Dr. Johann, Michael Shannon",Mirror Dance,29-Apr-18,FACX14,2.26,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.9
16,18,307,HTTPete,Greg Colton,Young Baek,Damien Fahey,"Annemarie Brown, Dante Leandado, Brinson Thieme",None,Peter Griffin,"Lois, Meg, Chris, Stewie, Brian, Quagmire, Cleveland, Joe, Bonnie, Mayor Adam West, Angela, Stella, God, Darth Vapor, Keyboard Cat, Falkor, Bill the Cat, ""Morning Breath"" Mike, Hammer, Parker Stanton, Jedidiah, Neil Young, Joe Biden, Jimmy Fallon, Rod Serling, Bill Cosby, Kevin Spacey, Roman Polanski, Woody Allen, Steven Seagal, Matt Lauer, Brett Ratner, James Toback, Harvey Weinstein, Barenaked Ladies",Electric Urinal,6-May-18,FACX15,1.92,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.6
16,19,308,The Unkindest Cut,Jerry Langford,Orlando Gumatay,Mark Hentemann,"Bao Nguyen, Michael Rundle, Ron Smith",None,Glenn Quagmire,"Peter, Lois, Meg, Chris, Brian, Stewie, Joe, Bonnie, Cleveland, Donna Tubbs-Brown, Cleveland Brown, Jr., Rallo, Roberta, Mort, Seamus, Tom Tucker, Dr. Hartman, Ida Davis, Tony, Edgar, Pitbull, Florida Evans, David Ortiz, Chris Pratt",None,13-May-18,FACX16,2.15,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
16,20,309,"Are You There God? It's Me, Peter",Joseph Lee,Wincat Alcala,Travis Bowe,"Won Ki Cho, Helen Kim, Michael Narren",None,"Peter Griffin, God","Lois, Meg, Chris, Stewie, Brian, Quagmire, Cleveland, Joe, Bonnie, Dr. Hartman, Sophie, Snoop Dogg, Oliver Platt, James Brolin, Sherman Hemsley, Christopher Plummer, Ken Ober, William Katt, Kirk Cameron, Gene Rayburn, Eric Trump",It's The End Of The World As We Know It (And I Feel Fine),20-May-18,FACX17,1.83,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
17,1,310,Married... with Cancer (Part 1),Mike Kim,Max Martinez,Aaron Lee,"Helen Kim, Bao Nguyen, Eric Sanford",Casey Wilson,"Brian, Jess","Lois, Peter, Chris, Stewie, Meg, Quagmire, Joe, Bonnie, Cleveland, Donna, Bruce, Carl, Tom Tucker, Dylan Flannigan, Jeffrey, Lou Spinazola, Dr. Gravitas, Helen Schlotz, Willy Wonka, Charlie Bucket, Dennis Franz, Kanye West",None,30-Sep-18,HACX02,2.57,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.5
17,2,311,Dead Dog Walking (Part 2),Julius Wu,John Banh,Chris Sheridan,"Steven K.L. Olson, Michael Rundle, Ron Smith",Casey Wilson,"Brian, Jess","Peter, Lois, Chris, Meg, Stewie, Quagmire, Cleveland, Bruce, Consuela, Dr. Hartman, Helen Schlotz, Jager, Brice, Clifford the Big Red Dog, Hal, Samara Morgan",Hello! Ma Baby,7-Oct-18,HACX03,2.69,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.8
17,3,312,Pal Stewie,Brian Iles,Ivaylo Angelov,John Viener & Matt Pabian,"Jonathan Gebhart, Steven K.L. Olson, Eric Sanford",None,"Stewie Griffin, Hudson","Lois, Peter, Brian, Chris, Meg, Quagmire, Rupert, Miss Tammy, Evan, Jumpy, Cast of Parks and Recreation, Tony Robbins",What a Day,14-Oct-18,FACX18,1.99,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.9
17,4,313,Big Trouble in Little Quahog,Joe Vaux,Mark Covell,Dominic Bianchi & Joe Vaux,"Rob Bou-Saab, Francis Dinglasan, Dave Sherburne, Brinson Thieme",Kyrie Irving,"Stewie, Brian","Lois, Peter, Meg, Chris, Cleveland, Corey, Girly Friendston, Consuela Water Bear, Vernon Water Bear, Patrick Stewart Water Bear, Tiny Tom Cruise, Prince, Alan Thicke, Jean-Claude Van Damme",None,21-Oct-18,FACX19,2.57,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.7
17,5,314,Regarding Carter,Greg Colton,Young Baek,Alex Carter,"Annemarie Brown, Dante Leandado, Brinson Thieme",None,"Carter Pewterschmidt, Lois Griffin","Peter, Chris, Meg, Stewie, Brian, Cleveland, Quagmire, Joe, Bonnie, Susie Swanson, Rupert, Donna, Mort, Seamus, Herbert, Tricia Takanawa, Dr. Hartman, Barbara Pewterschmidt, Hideki, Lightning, Rush, Jon Hamm, Christina Hendricks, Elisabeth Moss, Gérard Depardieu, Shaquille O'Neal, James Franco, Dave Franco, Cast of ""The Voice""","Alone, Great Balls of Fire, Theme from Hill Street Blues",4-Nov-18,HACX04,2.6,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
17,6,315,Stand by Meg,Jerry Langford,Orlando Gumatay,Billy Domineau,"Rob Bou-Saab, Francis Dinglasan, Dave Sherburne",None,"Meg Griffin, Chris Griffin","Stewie, Lois, Peter, Brian, Principal Shepherd, Kevin Swanson, Neil Goldman, Dr. Hartman, Rocko, Mr. Tony, The Michelin Man, Fred Sanford, Zooey Deschanel","Grape Song, The Farmer and the Cowman, The Flesh Failures (Let the Sunshine In)",11-Nov-18,HACX05,2.29,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
17,7,316,The Griffin Winter Games,Steve Robertson,Pablo Solis,Artie Johann,"Won Ki Cho, Jonathan Gebhart, Orlando Gumatay, Michael Narren","Tara Lipinski, Johnny Weir",Meg,"Peter, Lois, Chris, Brian, Stewie, Cleveland Brown, Mayor Adam West, Gandalf, Tara Lipinski, Johnny Weir, Oksana Baiul, Garth Brooks, John Kruk, Ryan Lochte, Bob Costas, Ryan Gosling, Emma Stone, Gloria Allred, Lacey Chabert",Dominick the Donkey,18-Nov-18,HACX01,2.66,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.9
17,8,317,Con Heiress,Brian Iles,Ivaylo Angelov,Mark Hentemann,"Jonathan Gebhart, Michael Narren, Eric Sanford",None,"Stewie, Brian","Lois, Peter, Chris, Meg, Herbert, Jesse, Joe, Cleveland, Quagmire, Seamus, Tom Tucker, Rupert, Corey, Fredrick, The Friends of Distinction","Torn Between Two Lovers, Grazing in the Grass",2-Dec-18,HACX07,2.72,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",5.7
17,9,318,Pawtucket Pete,John Holmquist,Rick Del Carmen,Chris Regan,"Annemarie Brown, Dante Leandado, Bao Nguyen, Michael Rundle","Bryan Cranston, Niecy Nash","Peter Griffin, Bert & Sheila","Lois, Meg, Chris, Stewie, Brian, Joe, Bonnie, Kevin, Susie, Angela, Cleveland, Quagmire, Jerome, Tom Tucker, Tricia Takanawa, Opie, Security Officer Goosefear, Greg Mitchell, Jane Duncan, Billy Eichner, Mr. Burns, Smithers, Tony the Tiger, The Energizer Bunny, The Jolly Green Giant, Ernie Keebler, Aflac Duck, Pepe the Frog",None,9-Dec-18,FACX20,3.5,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
17,10,319,Hefty Shades of Gray (Part 1),Joseph Lee,Wincat Alcala,Mike Desilets,"Won Ki Cho, Helen Kim, Bao Nguyen",None,Peter Griffin,"Lois, Chris, Brian, Stewie, Meg, Joe, Cleveland, Quagmire, Rupert, Carter, Elmer Hartman, Tom Tucker, Consuela, Doris Billingsly, Ashley, Kristen, Derrick and Evan, Joe Horrigan, (Preview) Donald Trump, Ivanka Trump, (Flashback) Bruce Jenner",None,6-Jan-19,HACX08,2.42,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.5
17,11,320,Trump Guy (Part 2),Joe Vaux,Mark Covell,Patrick Meighan,"Rick Del Carmen, Steven K.L. Olson, Michael Rundle, Ron Smith",None,"Peter Griffin, Donald Trump","Lois, Brian, Stewie, Chris, Meg, Ernie the Giant Chicken, Tim Tucker, Brad & Betty, Ichabod Crane, Alex Trebek, Johnny Depp, Justin Trudeau, Billy Joel, George Washington, Franklin Delano Roosevelt, Harry Truman, George H. W. Bush, Abraham Lincoln, Grover Cleveland, Barack Obama, Mitch McConnell, Sarah Sanders, Mike Pence, Ivanka Trump, Eric Trump, Tiffany Trump, Jared Kushner, Melania Trump, Roger Stone, Vladimir Putin",None,13-Jan-19,HACX09,4.04,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",5.8
17,12,321,"Bri, Robot",John Holmquist,Rick Del Carmen,Patrick Meighan,"Annemarie Brown, Dante Leandado, Brinson Thieme",None,"Brian, Stewie","Peter, Lois, Meg, Chris, Quagmire, Joe, Cleveland, Rupert, Tom Tucker, Seamus, Carter Pewterschmidt, Gary, Barnaby Bananas & Janine, Minions, Harvey Weinstein, Allison Janney, Bob Iger, Blue Man Group",None,10-Feb-19,HACX10,1.81,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
17,13,322,Trans-Fat,Steve Robertson,Pablo Solis,Wellesley Wild,"Rob Bou-Saab, Won Ki Cho, Michael Narren, Eric Sanford",None,Peter Griffin,"Lois, Brian, Chris, Stewie, Meg, Quagmire, Ida, Joe, Bonnie, Cleveland, Jerome, Tom Tucker, Principal Shepherd, Dr. Hartman, Bert & Sheila, Sherry, The cast of Bob's Burgers, Ray Rice, Chris Brown, Bill Murray",None,17-Feb-19,HACX11,2.23,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.1
17,14,323,Family Guy Lite,Mike Kim,Max Martinez,Anthony Blasucci,"Jonathan Gebhart, Helen Kim, Stephen Wong",None,Peter,"Lois, Chris, Meg, Brian, Stewie, Quagmire, Joe, Bonnie, Cleveland, Donna, Bert & Sheila, Rancor, Ty, Jayce, Horatio",None,3-Mar-19,HACX12,2.1,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
17,15,324,"No Giggity, No Doubt",Julius Wu,John Banh,Kevin Biggins,"Francis Dinglasan, Bao Nguyen, Ron Smith",Mandy Moore,"Glenn Quagmire, Courtney","Peter, Meg, Lois, Chris, Stewie, Brian, Joe, Cleveland, Principal Shepherd, Neil Goldman, Seamus, Connie D'Amico, Kevin Swanson, Bonnie Swanson, Mayor Adam West, Angela, Muriel Goldman, Carter Pewterschmidt, Barbara Pewterschmidt, Donna, Cleveland Brown, Jr., Roberta Tubbs, Rallo Tubbs, Tricia Takanawa, John Herbert, Joyce Kinney, Tom Tucker, Carl, Opie, Jerome, Jasper, Mort Goldman, Eddie the Live Studio Ostrich, Bruce, Holden Caulfield, Dr. Hartman, Al Harrington, Billy Finn, 'Kermit Legs' Kyle, Smitty, Andrew, John Travolta, Tom Brady, Luke Perry, The cast of American Dad! and The Cleveland Show",None,10-Mar-19,HACX13,2.25,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
17,16,325,You Can't Handle the Booth!,Greg Colton,Young Baek,Damien Fahey,"Dante Leandado, Steven K.L. Olson, Brinson Thieme",Sarah Paulson,"Lois, Peter","Meg, Chris, Brian, Stewie, Quagmire, Joe, Cleveland, Rupert, Jesus, Tom Tucker, Ollie Williams, John Herbert, Xenomorph, Predator, Ferris Bueller, O.J.Simpson, Judge Ito, Marcia Clark, Johnnie Cochran Jr., Winona Ryder, Abraham Lincoln, Madonna, Nicki Minaj, Iggy Azalea",Halfway Down the Stairs,24-Mar-19,HACX14,2.01,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",4.1
17,17,326,Island Adventure,Jerry Langford,Orlando Gumatay,Steve Callaghan,"Annemarie Brown, Michael Narren, Michael Rundle, Eric Sanford",None,"Stewie, Brian","Peter, Lois, Quagmire, Joe, Cleveland, Bruce, Doug, Billy, Taylor, Monica, Alan, Craig Kilborn, M.C. Escher",None,31-Mar-19,HACX06,2.15,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.9
17,18,327,Throw It Away,Brian Iles,Ivaylo Angelov,Cherry Chevapravatdumrong,"Rob Bou-Saab, Jonathan Gebhart, Stephen Wong",None,Lois Griffin,"Peter, Meg, Chris, Stewie, Brian, Quagmire, Joe, Cleveland, Donna Tubbs-Brown, Tom Tucker, Joyce Kinney, Tricia Takanawa, Buzz Lightyear, Woody, Clifford the Big Red Dog, Bender, Kathy Ireland","Surfin' Bird, Theme from ""Taft""",28-Apr-19,HACX15,1.95,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
17,19,328,"Girl, Internetted",Joe Vaux,Mark Covell,Chris Regan,"Francis Dinglasan, Dante Leandado, Steven K.L. Olson","Sam Elliott, Denis Leary","Meg Griffin, Peter Griffin","Stewie, Brian, Lois, Chris, Joe, Bonnie, Cleveland, Dr. Hartman, Corey, Tom Tucker, Patty, Ruth, Esther, Principal Shepherd, Seamus, Rupert, Consuela, Grumpy Cat, Logan Paul, Ted Williams, Tyler Oakley, Lele Pons, GloZell, Joey Graceffa, Paul McCartney, Mark Ruffalo",None,5-May-19,HACX17,1.72,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.9
17,20,329,Adam West High,Joseph Lee,Wincat Alcala,Artie Johann,"Helen Kim, Michael Narren, Bao Nguyen",None,"Brian, Quagmire","Peter, Lois, Meg, Chris, Stewie, Mayor Adam West, Carol West, Cleveland, Joe, Tom Tucker, Principal Shepherd, Frank, Eddie Payups, Chip & Joanna Gaines, Sean Hannity, Matthew Perry, Adam West",Hail to the Dog,12-May-19,HACX16,1.78,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7
18,1,330,Yacht Rocky,John Holmquist,Rick Del Carmen,Travis Bowe,"Annemarie Brown, Michael Rundle, Ron Smith, Brinson Thieme","Nick Viall, Alan Parsons",Peter Griffin,"Lois, Meg, Chris, Stewie, Brian, Joe, Bonnie, Quagmire, Cleveland, Donna, Opie, Stella, Bert & Sheila, Dr. Hartman, Lyle, Chad, Terry, Father Monahan, Kenny Loggins, Nick Viall, Alan Parsons, Toto, Hall & Oates, Michael McDonald, Casey Kasem",None,29-Sep-19,HACX18,1.88,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",5.9
18,2,331,Bri-Da,Steve Robertson,Pablo Solis,Tom Devanney,"Rob Bou-Saab, Won Ki Cho, Stephen Wong",Robert Herjavec,"Brian, Ida, Quagmire","Peter, Lois, Meg, Chris, Stewie, Joe, Cleveland, Kevin Swanson, Bonnie Swanson, Donna Tubbs-Brown, Roberta Tubbs, Cleveland Brown, Jr., Bert, Gene, Ghost Rider, Robert Herjavec, Kevin O'Leary, Barbara Corcoran, Daymond John, Lori Greiner, Mark Cuban, Ben Stiller, Tila Tequila",None,6-Oct-19,HACX19,2.31,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",5.9
18,3,332,Absolutely Babulous,Mike Kim,Max Martinez,Mark Hentemann & Ted Jessup,"Helen Kim, Steven K.L. Olson, Eric Sanford",None,"Barbara Pewterschmidt, Carter Pewterschmidt, Peter Griffin","Lois, Stewie, Brian, Meg, Chris, Quagmire, Joe, Cleveland, Herbert, Fjurg Van Der Ploeg, Tom Tucker, Penrose, Grizabella, Mr. Rama Lama Lama Ka Dinga Da Dinga Dong, Miss Shoo-Bop Sha Wadda Wadda Yippity Boom De Boom, Mr. Chang Chang Changitty Chang Sha-Bop, Kyle Kaepernick, Isaac Newton","Mitzvah, Memory",13-Oct-19,HACX20,1.82,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.5
18,4,333,Disney's The Reboot,Greg Colton,Young Baek,Kirker Butler,"Annemarie Brown, Dante Leandado, Michael Rundle",None,Griffin Family,"Quagmire, Joe, Cleveland, Patty, Ruth Cochamer, Neil Goldman, Bert, Tricia Takanawa, Jerome, Von Jiner, Smarmy J. Tiestraightener III, Ermagerd and the Tweeters, James Corden, Dana Walden, Judy Greer, Gary Newman","Theme From ''Lois'', Theme from ''The Q'', One of Us is Richard Gere's Kid, Theme Song",20-Oct-19,JACX02,2.64,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.2
18,5,334,Cat Fight,Jerry Langford,Orlando Gumatay,Steve Callaghan,"Helen Kim, Eric Sanford, Stephen Wong",None,"Brian, Glenn Quagmire","Peter, Lois, Meg, Chris, Stewie, Joe, Cleveland, Tricia Takanawa, Tom Tucker, Bruce, Mayor Adam West, Principal Shepherd, Minnie Mouse, Albertine, The Bugsteins, Vera, Joanna",None,3-Nov-19,JACX03,1.61,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.8
